Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Enfin, ne vous plaignez pas, comme certains d'entre eux l'ont fait et ils furent exterminés par l'ange de la mort.	Ywə yə a bɑ pɑpúŋ a bɑ gɑ o kɑ pfɑ bap, kɑ nwə́ mlú' kɑ sɔmywə lə yə a gɔ ghə fɑ o vʉ́si a.
Ces malheurs leur arrivèrent pour servir d'exemple à d'autres; ils ont été mis par écrit pour nous avertir, car nous vivons en un temps proche de la fin.	Lwɔ' ywə yə piŋnthʉm o gə o kyəp ya a pɑ da' bu dzə̌ Si. Buŋtsě bɑ mo yə e tə dɑ yə nthi nə piŋ nə nyəŋ pɑ shɛ thə e a pɑ.
Par conséquent, que celui qui pense être debout prenne garde de ne pas tomber.	Da' gɑ́ mo yə e nə tsʉ̌ ywə bɑ jʉ'nyə a bɑ mo yə bi a pɑ́ pu nyəŋ shɛ thə e a, nə pa' ghiŋ tsyə tə fɑ m nə piŋnthʉm e pɑ́. A nəŋ nə pɑ̌ po'o guŋ ywə awɛ yə a tə́ fɑ m nə nwə piŋnthʉm pɑ pɑ́ mhɔ.
Les tentations que vous avez connues ont toutes été de celles qui se présentent normalement aux hommes. Dieu est fidèle à ses promesses et il ne permettra pas que vous soyez tentés au-delà de vos forces; mais, au moment où surviendra la tentation, il vous donnera la force de la supporter et, ainsi, le moyen d'en sortir.	Da' gɑ a bɑ fa' bi pɑ, wɔk pɑ pyə pɑ bɑ pɔ nthʉɔtʉɔ a, nə pɑ ŋkwa tsə mkʉ́m pɔ bwapwǎ, ba nə cyətə pɑ̌ shəŋ pɑ́ ywə yə ǎ puŋ wɔk pɑ a.
C'est pourquoi, mes chers amis, gardez-vous du culte des idoles.	Bǎ yá mo lə nə pɑ cəŋ nə puŋ mo yə ě bəŋ e a, nə nwə pɑpúŋ nə nə kwɑ.
Je vous parle comme à des personnes raisonnables; jugez vous-mêmes de ce que je dis.	Kristo lě tə́ cəŋ pɑ́ ywə yə a lə buŋ e a pɑ́, dəŋdəŋ pa' a bɑ pu lě bvə gɑ: Mcap pɑ cap o lě ŋkho nə m̀.
Pensez à la coupe de la Cène pour laquelle nous remercions Dieu: lorsque nous en buvons, ne nous met-elle pas en communion avec le sang du Christ? Et le pain que nous rompons: lorsque nous en mangeons, ne nous met-il pas en communion avec le corps du Christ?	A nə pɑ̌ po'o bɑ ywə yə pu lə la' bvə a, nə cwə yə a lə cyə a bɑ pu lə́ bvə nə́ nə nthɔk wɔk pɑ, po'o gɑ pɑ cyə m nə́ nə kaktʉɔ ba zhwyətə̀ yə ywə yə pu lə və a nə sɔ' a gə mɔktə̀.
Il y a un seul pain; aussi, bien que nous soyons nombreux, nous formons un seul corps, car nous avons tous part au même pain.	A Si yə e hɑ kaktʉɔ ba zhwyətə a hɑ ŋkwishwə cəcɑ po pa' Yeso Kristo shəŋ a
Voyez le peuple d'Israël: ceux qui mangent les victimes sacrifiées sont en communion avec Dieu auquel l'autel est consacré.	po'o gɑ po lɑ ta' tʉ̌m ba ta' gi nə hɑ ghu'tə bi Si yə é bɑ Tá Cyəpɔ Yeso Kristo yɔk pɑ a.
Est-ce que je veux dire par là qu'une idole ou que la viande qui lui est offerte en sacrifice ont une valeur quelconque?	Po pɑ dɑ wɔ wɔwɔ dəŋdəŋ pa' Kristo lə lɑ wɔ a nə ghu'tə Si.
Non, mais j'affirme que ce que les païens sacrifient est offert aux démons et non à Dieu. Or, je ne veux pas que vous soyez en communion avec des démons.	Gɑ̌ wə biŋ: a shyə m nə nyənyɔ Si tə Kristo cʉ' gɛfa' pɔ pyə pu le bvo wap a, po'o gɑ́ mka'nyə myə pu lə ka' bi mtá pɔk pɑ á a pəmtə
Vous ne pouvez pas boire à la fois à la coupe du Seigneur et à la coupe des démons; vous ne pouvez pas manger à la fois à la table du Seigneur et à la table des démons.	tə sɔ' m nə pɑ tə pɑ́ pɑ Yudea, wap gu'tə yap Si shyə pɑ́ m̀ nə́ cɔ̌mmtso e, dəŋdəŋ pa' a bɑ pu lě bvə gɑ: A po'o tə gɑ gɔ sɔ' pɑ́ zhwɔp o cəcɑ mguŋ pɑ tə pɑ́ pɑ Yudea piŋ pɑ́ zhwɔp nə hɑ mku' nə tsó tsǔ.
Ou bien voulons-nous susciter la jalousie du Seigneur? Pensez-vous que nous soyons plus forts que lui?	A bɑ pu kwi' bvə gɑ: Mguŋ mguŋ, pǒ ŋwɛnyə wɔ ba pɔ pyə.
«Tout est permis», dites-vous. Oui, cependant tout n'est pas bon. «Tout est permis», cependant tout n'est pas utile pour la communauté.	Ba m̀ gɑ: Mguŋ mguŋ po gho'tə Cyəpɔ guŋ yɔ awɛ, guŋ pɔ awɛ piŋ nthogəŋ bi e.
Que personne ne cherche son propre intérêt, mais plutôt celui des autres.	Esaya ŋkwi' gɔm gɑ: Twɔp Yese gɔ sɔ' təm, mo yə e dusi nə sa' mguŋ mguŋ a. Mguŋ mguŋ gɔ sɔ' pɑ́ yáp yap mɔktə pɑ nə é.
Vous êtes libres de manger tout ce qui se vend au marché de la viande sans avoir à poser des questions par motif de conscience	Si mɔktə fi'tə ŋwɛ́nyə ba hwitə nə po nthʉm piŋnthʉm po'o gɑ mɔktə lonyə nə po shyə́ m̀ nə́ tʉɔ Zhwenyə Dɔlɔ̌.
car, comme il est écrit, «c'est au Seigneur qu'appartient la terre avec tout ce qu'elle contient».	Tə sɔ' m̀ nə wɔ mfɑ pɑ a bɑ gɑ̌ zhyə nyənyɔ gɑ́ kwa' wɔ bɑ po ghə tʉm pɑpuŋ, bɑ nə zhyə́ pɑpuŋ lo nə po, po ku'nyə nə pɑ nthɔknyə nɑ tsɔ.
Si un non-croyant vous invite à un repas et que vous acceptiez d'y aller, mangez de tout ce qu'on vous servira, sans poser de question par motif de conscience.	Da' gɑ nə ghə gɑ́ po kamtə́ ywə yə a bɑ pǒ zhyə a, ŋ də lɑ̌ pɑ́ ka'tə̀ tə nə bvə ŋwa'nyə bi po nə shɑ mcwə, shyə m̀ nə gho' yə Si gə bəm
Mais si quelqu'un vous dit: «Cette viande provient d'un sacrifice offert aux idoles», alors n'en mangez pas, à cause de celui qui a fait cette remarque et par motif de conscience	gɑ́ myə pɑ́ gɛfa' Yeso Kristo bi pɑ tə pɑ́ pɑ Yudea, bɑ gɛfa' Cuŋ pɑpuŋ Si, po'o gɑ pɑ tə pɑ pɑ Yudea cʉ' ywə hɑ hɑ̌ yə Zhwenyə Dɔlɔ̌ dɔnyə yá a puŋ bi Si a.
– je parle ici non pas de votre conscience, mais de celle de l'autre. «Mais pourquoi, demandera-t-on, ma liberté devrait-elle être limitée par la conscience de quelqu'un d'autre?	A po'o tə bi a pɑ́ ŋ ŋa'tə tsɑ̌ shyə m nə Yeso Kristo nə fa' Si.
Si je remercie Dieu pour ce que je mange, pourquoi me critiquerait-on au sujet de cette nourriture pour laquelle j'ai dit merci?»	Nə pa' bi a pɑ ŋ də ghɔm sɔmywə tə ně da' yə Kristo shyə m nə m̀ gə po'o gɑ pɑ tə pɑ pɑ Yudea yu'nyə e shyə m nə ghɔm ba m nə nə ghə̀
Ainsi, que vous mangiez, que vous buviez, ou que vous fassiez quoi que ce soit, faites tout pour la gloire de Dieu.	shyə m nə gʉ' mtiŋ pu a msya nə tʉɔ Zhwenyə Dɔlɔ̌. A po'o tə́ tə fɑ Yerusalɛm gɔghɔ tə ŋkhəm Iliria gɑ cəŋtə́ siŋ Cuŋ pɑpuŋ Kristo.
Vivez de façon à ne scandaliser ni les Juifs, ni les non-Juifs, ni l'Église de Dieu.	Da' gɑ ŋ də kaktʉɔ nə siŋ Cuŋ pɑpuŋ pɑ nə tsʉ' yə pu lə jɑ tə́ wuŋ nthʉ tso Kristo nə a, po'o gɑ ŋ khɑ kwɑ nə cyə́ pa' yə́ mu' mo nə lə yap a.
Comportez-vous comme moi: je m'efforce de plaire à tous en toutes choses; je ne cherche pas mon propre bien, mais le bien d'une multitude de gens, afin qu'ils soient sauvés.	A pɑ po'o bɑ giŋ nə ywə yə a bɑ pu və gɑ: Pɔ pyə pu lě tə siŋ wap a gɔ sɔ' yɔ, ba pɔ pyə wap lě tə yu' nə ghɔm a yu'.
Suivez mon exemple, comme je suis l'exemple du Christ.	A ywə yə a ŋkhɔ mcʉm jɔmyɔ̌m gɑ́ ŋ khɑ ghɔ wə po a.
Je vous félicite: vous vous souvenez de moi en toute occasion et vous suivez les instructions que je vous ai transmises.	Tə cwəlɔ yə ŋ kha piŋ gə tsʉ' fa' nə yə bɔ ghə̌ŋ, a piŋ bɑ́ bɑ tə fɑ tə tyɛ̌' bɑ shəŋ nə sɔ' wə po a
Cependant, je veux que vous compreniez ceci: le Christ est le chef de tout homme, le mari est le chef de sa femme, et Dieu est le chef du Christ.	cwə yə́ gɑ gɔ ghɔ Spanya a gɑ̌ wə ŋkwɛ gɑ́ gɑ gɔ nə cyə yɔ wɔ, piŋ kwi yɔ ywə kwitə tə́ nə ghɔ, piŋ na' ŋwɛnyə bǎ muywə é nə pɑ bəŋ po.
Si donc, pendant le culte, un homme a la tête couverte lorsqu'il prie ou donne des messages reçus de Dieu, il déshonore le Christ.	Da' gɑ́ cwəlɔ, gɑ wə gɔ m Yerusalɛm nə fa' pɔ dɔlɔ̌
Mais si une femme est tête nue lorsqu'elle prie ou donne des messages reçus de Dieu, elle déshonore son mari; elle est comme une femme aux cheveux tondus.	nə pa' pɑ Makedonya ba pɑ Akaya yáp gɑ wap gɔ la'tə yap nə tɔmnyə bǔ nə pɔ dɔlɔ̌ pyə wap Yerusalɛm nthʉm pə́ŋ a.
Si une femme ne se couvre pas la tête, elle pourrait tout aussi bien se couper la chevelure! Mais puisqu'il est honteux pour une femme de se couper les cheveux ou de les tondre, il faut alors qu'elle se couvre la tête.	Nə pa' a bɑ wap nyəŋ po'o biŋ bɑwə giŋ po'o. Nə pa' a pɑ gɑ́ pɑ tə pɑ́ pɑ Yudea lě ŋkwitə wap nə mfa' zhwenyə bɑ ǎ puŋ gɑ wap piŋ ŋkwitə wap yap nə ywə yə ǎ wə jak wap a.
L'homme n'a pas besoin de se couvrir la tête, parce qu'il reflète l'image et la gloire de Dieu. Mais la femme reflète la gloire de l'homme	Cwə yə gɑ gɔ miŋ nwə bɔ, piŋ hɑ ywə yə wap shwɔp a bi pu sɔsɔ̌ a, gɑ gɔ nə ghɔ Spanya cyə wə po.
en effet, l'homme n'a pas été créé à partir de la femme, mais c'est la femme qui a été créée à partir de l'homme.	Gɑ biŋ bɑwə jyə gɑ́ gɑ gɔ nə sɔ' wə po lɑ́ pɑ byanyə Kristo nə sɔ'.
Et l'homme n'a pas été créé pour la femme, mais c'est la femme qui a été créée pour l'homme.	Tə́ gɑ̌ wə səso wɔ mfɑmfɑ shyə m nə́ Cyəpɔ Kristo yɔk pɑ, ba m nə́ ŋkhuŋnyə Zhwenyə gɑ́ pɑ pəmtə do' shyə m nə mcwyɛ'nyə, myə po hɑ bi Si nə thə́ a
C'est pourquoi, à cause des anges, la femme doit avoir sur la tête un signe marquant ses responsabilités.	po'o gɑ ŋ bvɔk nə pɑ ghə tʉm sɔksɔk pɑ Yudea, ba m gɑ ywə kwitə yə gɑ̌ nə gɔ m Yerusalɛm a pɔ dɔlɔ̌ kwi nə pɑpuŋ.
Cependant, dans notre vie avec le Seigneur, la femme n'est pas indépendante de l'homme et l'homme n'est pas indépendant de la femme.	A gɔ cyə m po'o ŋ ŋwak wə po nthʉm ŋwɛnyə, a piŋ shyə m pa' Si nə jap a, a ná' hwitə nɑ a wə po.
Car de même que la femme a été créée à partir de l'homme, de même l'homme naît de la femme, et tout vient de Dieu.	A Si hwitə pɑ bi po! Amɛn.
Jugez-en vous-mêmes: est-il convenable qu'une femme soit tête nue lorsqu'elle prie Dieu pendant le culte?	Gɑ̌ nyəŋ Fɛbɛ fɑ yɔk pɑ yə mjwǐ gɛfa' mfa' dyə cu'tə pɔ Kristo yə a Kɛnkrea a nə bu mɔ.
La nature elle-même vous enseigne qu'il est indécent pour l'homme de porter les cheveux longs	Po cyə m nə Cyəpɔ dɑ́ mku' tə nə dɑ e kwa' pa' pɔ dɔlɔ̌ a; po kwitə e nə guŋ ywə awɛ yə e wə shəŋ gɑ po kwitə e a nə pa' e lə́ pfɔptə pɔ jɔmyɔ̌m ba myə.
tandis que c'est un honneur pour la femme de les porter ainsi. En effet, les cheveux longs ont été donnés à la femme pour lui servir de voile.	Po ca'tə Priska ba Akilas msǒ fa' pɑ̌ nə Kristo.
Mais si quelqu'un désire encore discuter à ce sujet, qu'il sache simplement ceci: ni les Églises de Dieu, ni nous-mêmes n'avons d'autre coutume dans le culte.	Wap lə nə vɔk a bɑ́ gɔ hɑ thə yap; tə da' myə nə wə go'tə wap pɑ, ba guŋ mcu'tə pɔ Kristo awɛ nthʉm guŋ pɑ tə pɑ́ pɑ Yudea.
En passant aux remarques qui suivent, je ne peux pas vous féliciter, car vos réunions vous font plus de mal que de bien.	Po ca'tə ba cu'tə pɔ Kristo yə a shu'tə wə pu a. Sha'tə Epainetos, gɛ ŋkhuŋ a, dəŋdzə mo nə ghə̌ŋ Azia nə piŋ Kristo.
Tout d'abord, on m'a dit que lorsque vous tenez des assemblées, il y a parmi vous des groupes rivaux, – et je le crois en partie.	Po ca'tə Maria yʉ yə e lɑ cəŋtə dzɔp nɑ́ e nə po a.
Il faut bien qu'il y ait des divisions parmi vous pour qu'on puisse reconnaître ceux d'entre vous qui sont vraiment fidèles.	Sha'tə Androniko pu Yunyas pɔ nə ŋkhənyə a, pɔ pyə pu lə ghəm wɔk pyə a pu a. Wap bɑ mghɛ nthəm gwyə, bɑ wap lə dəŋdzə̀ bɑ bi Kristo m dzə̌ m̀.
Quand vous vous réunissez, ce n'est pas le repas du Seigneur que vous prenez	Po ca'tə Ampliatos ŋkhuŋ a te' nə Cyəpɔ.
en effet, dès que vous êtes à table, chacun se hâte de prendre son propre repas, de sorte que certains ont faim tandis que d'autres s'enivrent.	Sha'tə Urbano so yɔk pɑ nthʉm fa' Kristo ba ŋkhuŋ a Stakos.
N'avez-vous pas vos maisons pour y manger et y boire? Ou bien méprisez-vous l'Église de Dieu et voulez-vous humilier ceux qui n'ont rien? Qu'attendez-vous que je vous dise? Faut-il que je vous félicite? Non, je ne peux vraiment pas vous féliciter à ce sujet!	Po ca'tə Apelɛ yə e da'tə mfa' myə jʉ̌m Kristo a. Sha'tə pɔ pyə wap wə́ Aristobulu a.
En effet, voici l'enseignement que j'ai reçu du Seigneur et que je vous ai transmis: Le Seigneur Jésus, dans la nuit où il fut livré, prit du pain	Po ca'tə Erodion, ŋkhənyə a, sha'tə pɑ dyə Narsisə pyə wap m nə Cyəpɔ a.
et, après avoir remercié Dieu, il le rompit et dit: «Ceci est mon corps, qui est pour vous. Faites ceci en mémoire de moi.»	Po ca'tə Trifena pu Trifosa pyə wap lə cəŋtə dzɔp nɑ tsap nə Cyəpɔ a. Sha'tə ŋkhuŋ a Pɛrsi yə e kɑ cəŋtə dzɔp nɑ e nə Cyəpɔ a.
De même, il prit la coupe après le repas et dit: «Cette coupe est la nouvelle alliance de Dieu, garantie par mon sang. Toutes les fois que vous en boirez, faites-le en mémoire de moi.»	Sha'tə Rufo yə pu shi e m nə Cyəpɔ a ba map e yə e bɑ ba ma ǎ lə.
En effet, jusqu'à ce que le Seigneur vienne, vous annoncez sa mort toutes les fois que vous mangez de ce pain et que vous buvez de cette coupe.	Po ca'tə Aziŋkritos, Flegos, Ermes, Patrobas ba Ermas pu a mfɑ̌mfɑ pyə pu a pu bɑ a.
C'est pourquoi, celui qui mange le pain du Seigneur ou boit de sa coupe de façon indigne, se rend coupable de péché envers le corps et le sang du Seigneur.	Sha'tə Filologos ba Yulia, Nɛreos pu fɑ e yə mjwǐ Olimpas pu a guŋ pɔ dɔlɔ̌ pyə pu a pu bɑ a.
Que chacun donc s'examine soi-même et qu'il mange alors de ce pain et boive de cette coupe	Po lɑ nə nuŋ mgho' dɔlɔ̌ sha'tə wɔwɔ cəcɑ̌ po. Guŋ mcu'tə pɔ Kristo awɛ ca'tə wɔ.
car si quelqu'un mange du pain et boit de la coupe sans reconnaître leur relation avec le corps du Seigneur, il attire ainsi le jugement sur lui-même.	Mfɑmfɑ, gɑ̌ səso wɔ gɑ po pɔm pɑ ma' ŋkhyɛ'nyə pu a fa'tə nə cwə yə wap fʉ'tə nɑ tsap hɑ jʉm nə ywə yə pu lə zhi'tə wɔ a; po khʉ́ wap.
C'est pour cette raison que beaucoup d'entre vous sont malades et faibles, et que plusieurs sont morts.	Nə pa' pɔ bǎ tə bɑwə fa' m bi Kristo Cyəpɔ yɔk pɑ pɑ̀; wap fa' m bi vam tsap; biŋ bɑwə shyə m nə́ mghɔm pɑpuŋ map pu a mghɔm zhɔ'tə fʉtə pɔ pyə a bɑ wap ghə tʉm bwapwǎ a.
Si nous commencions par nous examiner nous-mêmes, nous éviterions de tomber sous le jugement de Dieu.	Guŋ pɔ awɛ zhyə yɔ nə yu'nyə; gɑ̌ wə ŋwɛnyə nə po, da' gɑ́ gɑ̌ wə shəŋ gɑ́ po zhyə ywə pɑpuŋ, bɔmtə́ nə ŋi'nyə nə yə cwəpuŋ.
Mais nous sommes jugés et corrigés par le Seigneur afin que nous ne soyons pas condamnés avec le monde.	A cʉ' muywə Si hwitə̀ tsa'tə Sata to mkwə po. A gho' Cyəpɔ Yeso yɔk pɑ pɑ́ nə po.
Ainsi, mes frères, lorsque vous vous réunissez pour prendre le repas du Seigneur, attendez-vous les uns les autres.	Timotio só fa' a ca'tə wɔ ba Lukios pu Yasoŋ ba Sozipatros ŋkhənyə a.
Si quelqu'un a faim, qu'il mange chez lui, afin que vous n'attiriez pas le jugement de Dieu sur vous dans vos réunions. Quant aux autres questions, je les réglerai quand je serai arrivé chez vous.	Myə Tɛrtios yə gɑ bvə yəŋ ŋwa'nyə a, gɑ̌ ca'tə wɔ nə Cyəpɔ.
Parlons maintenant des dons du Saint-Esprit: Frères, je désire que vous connaissiez la vérité à propos de ces dons.	Gaios, gʉɔ a ba yə guŋ cu'tə pɔ Kristo awɛ ca'tə wɔ. Erasto gwim petə tisuŋ ca'tə wɔ, ba Kartus fɑ yɔk pɑ. [
Vous savez que lorsque vous étiez encore païens, vous étiez entraînés irrésistiblement vers les idoles muettes.	]
C'est pourquoi je tiens à vous l'affirmer: aucun être guidé par l'Esprit de Dieu ne peut s'écrier: «Maudit soit Jésus!», et personne ne peut déclarer: «Jésus est le Seigneur!», s'il n'est pas guidé par le Saint-Esprit.	Ghu'tə pɑ bi mo yə e gə tʉɔ nə gə piŋnthʉm yɔ kwyə́ shyə m nə Cuŋ pɑpuŋ yə gɑ̌ siŋ, bɑ shyanyə Yeso Kristo shyə m nə nə ghə ŋ jyə mu' nwə cyə zhyənwə yə pu lə la' dwɔ' tə fɑ tə tyɛ'
Il y a diverses sortes de dons spirituels, mais c'est le même Esprit qui les accorde.	a pɑ cwəlɔ bɑ pu la'tə biŋ gə guŋ pɑ tə pɑ pɑ́ Yudea zhyə, shyə m̀ nə ywə yə pu lə və, a fɑ bi mghɔm ghɔm Si shyə m pa' Si lə ghɔm tə nə shya wap nə nə yu'nyə piŋnthʉm a
Il y a diverses façons de servir, mais c'est le même Seigneur que l'on sert.	bi Si da' jyənwə, shyə m nə Yeso Kristo nə mgu' nə gu'! Amɛn.
Il y a diverses activités, mais c'est le même Dieu qui les produit toutes en tous.	Myə Polo yə Si ŋkhe a pa' yʉ́ nə ŋkhuŋ a nə gə gɛ nthəm Kristo Yeso, pyə Sostɛnə, fɑ́ yɔk pɑ
En chacun l'Esprit Saint se manifeste par un don pour le bien de tous.	Bi cu'tə Si yə a Korinto, bi pɔ pyə pu lɔnyə wap nə Kristo Yeso, wap ghɔ pɑ́ pɔ dɔlɔ̌ pu a pɔ pyə wap ŋkhe tso Cyəpɔ yɔk pɑ Yeso Kristo, Cyəpɔ yap ba yɔk pɑ a
L'Esprit donne à l'un de parler selon la sagesse, et à un autre le même Esprit donne de parler selon la connaissance.	gho' ba hwitə pɑ bi po shyə́ m nə́ Si Tá yɔk pɑ ba m nə Cyəpɔ Yeso Kristo.
Ce seul et même Esprit donne à l'un une foi exceptionnelle et à un autre le pouvoir de guérir les malades.	Gɑ̌ go'tə Si guŋ mcwə awɛ nə po nə gho' Si yə e lə ghə bi po shyə m nə Yeso a.
L'Esprit accorde à l'un de pouvoir accomplir des miracles, à un autre le don de transmettre des messages reçus de Dieu, à un autre encore la capacité de distinguer les faux esprits du véritable Esprit. A l'un il donne la possibilité de parler en des langues inconnues et à un autre la possibilité d'interpréter ces langues.	Nə pa' Si bɑ e lé shyə m nə é hɑ guŋ fʉ' awɛ bi po, guŋ fʉ' nə ghɔ̀m ba guŋ fʉ' nə zhyə.
C'est le seul et même Esprit qui produit tout cela; il accorde à chacun un don différent, comme il le veut.	A bɑ kwǐnthɛ Kristo kwyə nə po
Eh bien, le Christ est semblable à un corps qui se compose de plusieurs parties. Toutes ses parties, bien que nombreuses, forment un seul corps.	tə́ sɔmywə yə Si hɑ bi mo a lə yɑwə jak bi po, wɔ pyə po bɑwə byap gɑ́ pu ghə po zhyə Cyəpɔ yɔk pɑ Yeso Kristo a.
Et nous tous, Juifs ou non-Juifs, esclaves ou hommes libres, nous avons été baptisés pour former un seul corps par le même Esprit Saint et nous avons tous eu à boire de ce seul Esprit.	Yʉ́ nə gɔ pɑ kwyətə́ wɔ tə kəm nə́ nə miŋ po'o gɑ́ po sɔ' bɑ tə bya nə tyɛ'dzʉ Cyəpɔ yɔk pɑ Yeso Kristo.
Le corps ne se compose pas d'une seule partie, mais de plusieurs.	E bɑ nyənyɔ, yʉ́ Si yə e ŋkhe wɔ gɑ po a Yeso Kristo Cyəpɔ yɔk pɑ Mu e tsʉnyə a.
Si le pied disait: «Je ne suis pas une main, donc je n'appartiens pas au corps», il ne cesserait pas pour autant d'être une partie du corps.	Tə́ gɑ wə səso wɔ mfɑmfɑ́ shyə m nə tsǒ Cyəpɔ yɔk pɑ̀ Yeso Kristo gɑ: Po pɑ ŋkwishwə, a ŋkhyɛ'nyə kɑ pɑ cəcɑ̌ po; po cəŋtə nthamtə́ nthʉm ta' zhwenyə, ba m nthʉ̌m ta' ŋkwɛnyə.
Et si l'oreille disait: «Je ne suis pas un œil, donc je n'appartiens pas au corps», elle ne cesserait pas pour autant d'être une partie du corps.	Nə pa' a bɑ pɑ Kloe siŋ a mfɑmfɑ gɑ́ fəŋnyə cəcɑ̌ po.
Si tout le corps n'était qu'un œil, comment pourrait-il entendre? Et s'il n'était qu'une oreille, comment pourrait-il sentir les odeurs?	A pɑ́ gɑ́ bǎ ya mo lə cəcɑ̌ po bɑwə gɔm gɑ: Gɑ̌ bɑ́ mo Polo, myə pɑ́ mo Apolos, myə pɑ́ mo Kefas, myə pɑ́ mo Kristo.
En réalité, Dieu a disposé chacune des parties du corps comme il l'a voulu.	Kristo bɑ ě ghaptə a? Pu lə́ ŋkham pɑ́ Polo thə́ bɛnyəpɛnyə nə thə yɔ a? Po lə́ ŋkwishyə m nə tsǒ Polo a?
Il n'y aurait pas de corps s'il ne se trouvait en tout qu'une seule partie!	Ca'nyə Si gɑ́ ŋ dě tə nu' sɔmmo yɔ shyə tə ně da' Krispo pu Gayo.
En fait, il y a plusieurs parties et un seul corps.	A po'o tə pɑ sɔmmo lə ghɔm gɑ́ po lə ŋkwishyə nə tso tsɑ̌.
L'œil ne peut donc pas dire à la main: «Je n'ai pas besoin de toi!» Et la tête ne peut pas dire non plus aux pieds: «Je n'ai pas besoin de vous!»	Əŋ ŋ də kwi' nu' tuŋdyə Stefana shyə. Sɔ' m nə pyəshɑ́ pɔ, bɑ ŋ kha zhyə gɑ́ gɑ̌ kwi' nu' mu' mo shyə pɑ́.
Bien plus, les parties du corps qui paraissent les plus faibles sont indispensables	Nə pa' Kristo la tə́ nthəm a gɑ́ gɔ nu' pɔ shyə pɑ́, e lə nthəm a m gɑ gɔ siŋ Cùŋ pɑpuŋ, siŋ po'o tə́ cyə m̀ nə́ fʉ̌ mghɔm pɑ̀, bɑ bwɔk nə lɑ bɛnyəpɛnyə Kristo sɑnyə ywə pɔpɔ.
celles que nous estimons le moins, nous les entourons de plus de soin que les autres; celles dont il est indécent de parler sont traitées avec des égards particuliers	Ghɔm bɛnyəpɛnyə bɑ pʉə bi pɔ bipǐ da' gɑ bi pɔ pyə wap wə gɔ vɔk a, bi pɑ̌, a pɑ́ mtʉɔ Si.
qu'il n'est pas nécessaire d'accorder aux parties plus convenables de notre corps. Dieu a disposé le corps de manière à donner plus d'honneur aux parties qui en manquent	Nə pa' a bɑ pu lě bvə gɑ: Gɑ gɔ sɔ' sa'tə fʉ́ pɑ zhyə fʉ́, simnyə zhyənwə mzhyənwə.
ainsi, il n'y a pas de division dans le corps, mais les différentes parties ont toutes un égal souci les unes des autres.	Jyəfʉ̌ hɑ́? Tadyə mco' hɑ? Sɛnwə nə yəŋ wɔ̌dzʉ́ hɑ? Si tə́ bɑ e pʉɔ fʉ́ dzʉ́ nə gə pʉə a?
Si une partie du corps souffre, toutes les autres souffrent avec elle; si une partie est honorée, toutes les autres s'en réjouissent avec elle.	Pa' dzʉ̌ lé shyə m nə fʉ̌ la' e zhyə Si nthʉm fʉ́ si a, Si bɑ e cyə m nə pʉə nə́ siŋ Cuŋ pɑpúŋ tə́ jɔ gɑ e gɔ vɔk pɔ pyə wap piŋ a.
Or, vous êtes le corps du Christ, et chacun de vous est une partie de ce corps.	Pɑ Yudea həŋtə́ msya, pɑ Grikia pɑ shəŋ fʉ́.
C'est ainsi que, dans l'Église, Dieu a établi premièrement des apôtres, deuxièmement des prophètes et troisièmement des enseignants; ensuite, il y a ceux qui accomplissent des miracles, puis ceux qui peuvent guérir les malades, ceux qui ont le don d'aider ou de diriger les autres, ou encore de parler en des langues inconnues.	Tə́ sɔ' m nə pyə, pyə̌ siŋ Mesia yə pu lə kam e thə bɛnyəpɛnyə a, ywə fa'tə bi pɑ Yudea biŋ bɑ pʉə bi pɑ tə pɑ́ pɑ Yudea
Tous ne sont pas apôtres, ou prophètes, ou enseignants. Tous n'ont pas le don d'accomplir des miracles	Da' gɑ sɔ' m bi pɔ pyə a bɑ pu ké wap a, kɑ pɑ Yudea, kɑ pɑ Grikia lə, bɑ́ Kristo, mtʉɔ Si, ba fʉ́ Si.
ou de guérir les malades, ou de parler en des langues inconnues ou d'interpréter ces langues.	Nə pa' ywə yə a bɑ pʉə Si a, a bɑ fʉ́ yə a bɑ ǎ cyə monəŋ, ywə yə a biŋ bɑ nə pwa Si a a pɑ bɑ ǎ tʉɔ shyə monəŋ.
Ainsi, désirez les dons les plus importants. Mais je vais vous montrer maintenant le chemin qui est supérieur à tout.	Mfɑmfɑ pǒ zhyə́ pɔ pyə pǒ bɑ wap a, wɔ pyə Si bɑ é ke wɔ po piŋ a: Pɑ zhyə́ fʉ́ nə mnyə pɔmnəŋ tə ghyɛ̌' bɑ cəcɑ̌ po pɑ́, kɑ pɔ nthʉɔtʉɔ lə, kɑ pɔ nə mtuŋdyə gwyəgwyə lə.
Supposons que je parle les langues des hommes et même celles des anges: si je n'ai pas d'amour, je ne suis rien de plus qu'un métal qui résonne ou qu'une cymbale bruyante.	Tə ywə yə a bɑ pʉə bi dzʉ̌ a Si bɑ e cwɔ' yá nə nə jʉ́m mzhyə́fʉ́; ywə yə́ a bɑ ywə bwapwǎ bi dzʉ́ a, Si pɑ bɑ ě cwɔ' ya nə nə jʉ́m ywə nthʉɔtʉɔ.
