à	á
effaroucher	pùb2
détester	pəm̀nì
effrayer	sìzbàn
emporter	búlgân
endurance	à-zòmò
enfoncer	pɔg̀lɔ
enseigner	yəǵlə
entorse	ɲwàglàn
entêtement	ì-vág
envoûtement	kóŋ
escargot	ǹ-náŋ2
esquiver	sɛl̀gàn
européen	ǹ-táŋní
excellence	ù-zúd
excuses	bì-jùùgá
expliquer	pɛl̀nà
fanfaron	bì-ŋgàn
fatigant	təg̀nì
faîtière	m̀-móŋ1
femme	ɲ̀-ɲə́ꜜɲá
fente	ì-sə̀sâlà
feuille	ì-tóndó
flagornerie	mbòl
fossé	m̀-mə́məǵ
fouille	m̀-págní
fourchette	ì-lúm
fraction	ì-cíìgà
francolin	ù-kpǎl
funèbre	ì-sánî1
gingembre	njínjâ
glorifier	səǵî1
générosité	à-kàb
grand	ɲ̀-cə̀mlə
grenier	ɛ-̀ŋgùnà
habanero	ì-lòbò
habituer	jəm̀zàn
habituer	jəḿlâ
hachette	ì-ndɔŋ́
hanneton	kàŋgázâ
hippopotame	ŋgǔb
hirondelle	ndɛl̀
ignorance	ù-dímí
hylochère	ì-ŋgág
hypocrisie	ǹ-nàn
inattendu	bì-dǐm
incrédule	bì-sóy
indigestion	sǔn
inexorable	àbɛ̀n
infirmité	ì-jəḿ
insecte	óbónítô
insistance	ì-vág
insolence	ù-lág
insolence	lágbâ
intestin	ǹ-náŋ2
invective	ì-kàg
invoquer	səǵî1
jointure	mə-̀làd
larmoyer	ŋgàŋlàn
latex	mə-̀kəḿdâ
lenteur	ì-ndəŋ̀1
loutre	ɛ-̀bàŋà2
lunettes	bì-yɛ́n
maltraiter	pìmlà
mammifère	vyɔŋ́
mammifère	ù-sǒg
mammifère	ù-jàm
mammifère	mbɔy̌
mammifère	ì-súm
maniguette	ndóŋ1
manœuvre	cúgzɛd̂
asculer	ŋm̀-ŋmǎg
maître	ɲ̀-ɲəǵlə
maîtresse	ì-bwàn
maugréer	dɔg̀dàn
méchanceté	à-jòl
menottes	háŋkwâb
mensonge	m̀-pùgá
menuisier	kábínâ
moelleux	ì-bùbùd
moineau	mbàŋkùmà
mollet	ŋm̀-ŋmɛń
monnaie	d-ɔĺɔ̂
mortier	ɲ̀-cɔb́ɔ
moucher	sɔz̀bàn
moucheron	ù-bǐg
moustache	ǹ-nàg
moustache	ɛ-̀bùb
multiplier	pòlò
multiplier	bùlà2
non-mûr	ì-káꜜsáŋ
non-mûr	ḿmáyâgà
non-mûr	ì-pɔĺɔ
non-mûre	ì-jwází
nuisance	mə-̀tóm
obscurité	d-ìblâ
ochnacée	ì-kógó
oiseau	ŋm̀-ŋmǎm
oiseau	mbàŋkùmà
olacacée	ì-wómî
olacacée	à-ŋgəg̀
orgueil	à-ŋgɔ̀ŋɔ
outrepasser	dàŋ2
ouvert	pɔɔ́b́ɔ̂
oviducte	ǹ-náŋ2
pantalon	twàlàsí
paquet	m̀-mwàm1
paralysé	ì-bɔǵ2
parapluie	ù-tàn1
parent	ì-vúvúmní
passage	ɲ̀-ɲɔŋ́1
passoire	ì-kùdgà
pauvreté	mə-̀bwâ
pellicule	ì-vùl
percevoir	nùmlà
pièce	tɔl̀ápɛn̂
pistache	ɲ̀-cà2
pivoter	cìŋlànà
plantain	zwàgbɔ
plantain	ì-sɔŋ́
plantation	à-púb
plante	ɲ̀-ɲəŋ̀1
plante	ɛ-̀jwàmí
plantoir	ǹ-tɔŋ́1
poitrine	mìŋ-kùg
poêle	ì-pìŋgəŋ́
policier	bəz̀ìmì
ouvantable	cìcî2
premier-né	ǹ-tól
problème	ì-tɔm̀
proclamer	yɛd́nə
promesse	mə-̀tǐŋ
prospérer	bùgbàn
provision	ì-kàgá
préparer	kòmzàn
prétentieux	məm̀
pétrole	kàlàsínâ
erelleur	ǹ-sáánà
ramolli	m̀-múúní
rancunier	zíŋbá
rasage	ì-kə̀ŋbàn
rassasier	ɲɔd̀bɔ
rassasier	njɔǵ
rassembler	kóznò
ravin	m̀-mə́məǵ
récolter	ləŋ̀nì
récompenser	págî
recoin	ɛ-̀ndúmgí
redresser	ɲòònì
refuseur	àbɛǹə̀
rejeter	bɛɛ̀ǹì
remarquable	kòòŋ
remèdes	mə-̀bálá
remplacer	lɛz̀2
renverser	kpəz̀ə
renvoi	ŋmg͡bəg̀1
restituer	dúgnà2
retourner	tìmnì2
revendiquer	kál2
réprimande	bì-jò
réveiller	vəb̀ə
sage	m̀-pə̀mpəǵ
salive	mə-̀ndɛǹ
sanglier	ì-ŋgág
sceptique	bì-sóy
semailles	ɛ-̀běy
semence	kɔŋ́gwáz
s'enflammer	káb3
sentir	wɔǵdânà
serpent	ɲ̀-cəg̀
serviteur	ì-túgâ
silencieux	pɔḿ1
sinistre	ɛ-̀màlá
sitatunga	ì-mbùl
souffle	m̀-vòzbò
soulever	səǵdə
sourd	ǹ-də́ndɔǵ
souvenance	ù-bíz
spatule	m̀-məb̌
surnom	mə-̀bádnà
sursauter	sìlgàn
surtout	áꜜdáŋdâŋ
talapoin	ù-ŋgɛž
tanière	ŋm̀-ŋmǐl
termites	bì-wàz
termites	bì-càgà
terrier	ŋm̀-ŋmǐl
testicule	ɛ-̀bìn
totalement	lìbìg
toucan	ŋm̀-ŋmǎm
touraco	ŋm̀-ŋmǎm
tournant	ɛ-̀kwád
tourner	cìŋlànà
tourniole	d-òngò
trembler	pògbàn
troubler	búlgânà
trouver	ù-sɔ̀mì
tuméfié	bì-tútúg
vaccination	mbǎŋ
vaillant	ŋ̀-káŋá
urine	mə-̀ɲɔĺgí
variole	mbàlmànà
vendredi	pùláꜜdé
vengeur	ŋ̀-kùnà2
vernonie	ɛ-̀tɛd́
véhicule	ì-bígdâ
vieillesse	à-jǒm
vigoureux	mbəm̀
viscères	bì-səǵ
visiteur	ɲ̀-ɲəŋ́
visqueux	lìgdàn
visqueux	kəŋ̀bə̀
volontaire	ù-váŋ
accueillir	sòzbò
aggraver	mɛńgân
alcarazas	kúlwàdá
alentours	ɛ-̀vɛl̀
allumettes	m-ásîz
ambarella	kàzmáŋâ
amende	ì-bəb̀ɔŋ̀
antillais	ì-lòbò
antipathie	mə-̀cǐ
apocynacée	à-kùg
wóódè	ŋ̀-kànəŋ̀2
attraper	g͡bɛl̀ì
augmentatif	m̀-mə
autorisation	ŋgùl
barrage	ŋm̀-ŋməǧ
barrière	ù-ŋgólô
bastonnade	ì-kùm
bastonnade	ì-bɔb̀
bavarder	pɔb́lân
beau-parent	ɲ̀-cǐ
bonbonne	ɛ-̀ŋgámá
bouillonner	lɔb́2
bouteille	ǹ-nɔm̀ɔ
bouture	m-ɔŋ́nɔ̀
brouillard	ì-jwǎn
calebasse	ì-kpáz2
calebasse	ɲ̀-cáz
camion	kɔm̀kɔ̀mɔ
cancrelat	pəṕéy
cartilage	káŋgázâ
catalogue	kàdàlóg
cercocèbe	ɲ̀-càg1
chamailler	sáánì
chantier	ŋ̀-kóŋó
charançon	kàŋgázâ
chasseur	ɲ̀-còmò
chercher	həǵbân
claudiquer	cəḿgə
célibataire	ŋ̀-kɔ
commandant	ɲ̀-jôy
complètement	kpád
compléter	dìbgànà
condiment	ì-cìdgà
confondre	cɛɛ́ńì
conserver	bàglàn
contraindre	nɔd̀ɔ
contrefort	ǹ-tím
correct	ŋ̀-ŋə́mdə
couvercle	ì-búdgà
couvre-chef	ǹ-tóm
crédulité	ì-ləŋ̀ə
creusage	m̀-págní
cueilette	ɲ̀-cáb
cueillette	ì-kɔ1̀
Cymbopogon	ùsàŋà
déboucher	sògzò2
débrouiller	bímnì
débusquer	kúglânà
déchiqueter	làmdà
déclencher	lɛńə
déconcentrer	sòlò
décortiquer	tágî1
demandeur	ɲ̀-cílâ
dépouiller	pɔĺî
drague	ɛ-̀ndómní
déranger	ndəǵlə
ebenacée	məv̀ínâ
effondrer	sùglàn
déterminé	bəm̀ə2̀
déterminé	ŋgàzbà
engokom	ì-kə́kɔḿ
entièrement	lìbìg
espiègle	ǹ-tàndàŋ
excréments	mə-̀bí
excuser	bì-jùùgá
fabricant	ŋ̀-kòmò
famille	ì-vúvúmní
féculent	ì-bɛd̀gə
fermable	pɛd̀bàn
flatterie	ì-wàngɔ
flatuosité	ɲ̀-cùl
forficule	óbónítô
fouilleur	m̀-vùnà
fourmi	ù-sə́ꜜswán
fragile	kəg̀lə̂gə
fraternité	ɛ-̀ɲǎŋ
gestation	ɲ̀-cìlà
gesticuler	pùblàn
globuleux	ì-ndòd
gloutonnerie	həb́
gémissement	ǹ-tàd
goulûment	mɔŋ̀bán
gourmandise	kpàg1
ratignure	ɲ̀-cɛĺ
grommeler	dɔg̀dàn
grossesse	ɲ̀-cìlà
grosseur	ɛ-̀nɛńí
habilé	m̀-bwádní
importuner	gəŋ́zə
inflorescence	sǎm
infortune	bàdlɔǵ
inséparable	ù-báz
instrument	ì-kɔ2̀
instrument	ì-làn
intelligence	pəg̀
interdiction	ì-cì
interloqué	pòdbò
interstice	pìgzán
lemongrass	ùsàŋà
lombric	ɲ̀-ɲìlìg
lotofa	ŋ̀-kànəŋ̀2
louange	mə-̀səǵî
lépreux	ǹ-zəꜜ́zám
luciole	ŋgəꜜ́ŋgéy
mammifère	ɲ̀-ɲǒg
mammifère	ɲ̀-cá2
mammifère	ɛẃúnî
manguier	à-ndɔǵɔ
marécage	ì-lɔb̀í1
mariage	m̀-máání
massivement	lìbìg
militaire	bəz̀ìmì
négligence	ì-lɛž
nonchalant	ləm̀zə
obstination	ndɔǵ
offrande	àdmúsɛn̂
oiseau	ɲ̀-cìɲcàl
opération	ì-sàlgà
parasolier	à-səŋ́
parasolier	kɔm̀ɔ
paresseux	təg̀bə
passereau	ù-tɔg̀
passereau	ɲjɔĺí
passereau	ɲ̀-cáŋ
pincement	ì-mwázî
plante	ŋ̀-kɛ́ngà
pénitence	mə-̀túg
pourriture	ì-bwǎl
profondeur	ì-dɔǵ
promettre	mə-̀tǐŋ
pétiole	ŋ̀-kɔǵ2
pugnace	bì-ləĺág
puérilité	à-mɔŋ̀ɔ
on-dit	ì-kúkwâlɔ̀
rumeur	ì-kúkwâlɔ̀
réchauffer	wáblɔ
réclamation	ù-tám
recherche	ɲ̀-cáb
recompenser	yágnà
ection	ŋ̀-kɛɛ́ńí
remerciement	ŋgǎŋ
rencontre	ndóꜜbnó
ressembler	pòònì
ressentiment	ì-bá
retenue	mbògmbòg
retourner	vyàŋlà
rhumatisme	ɛ-̀kàŋ
rhumatisme	ù-ɲál
résistant	tíbdân
rugueux	ì-səs̀âŋà
ruisseau	ɲ̀-càbgà
rythme	bì-zəḿlə
s'accumuler	dìlnà
s'aggraver	bɛl̂nì
saison	ɛ-̀sómló1
sarcastique	pyàŋà
s'ensauvager	kùn1
s'installer	ŋgàná
strabisme	mì-lə́ŋ
sursauter	sìlgàn
taille	ɛ-̀ŋgɛd́gí
kàdì	ì-mbə̀mbəŋ́
toujours	ŋgɛńâ1
transitoire	ndòn2
transport	mbəg̀lə
transport	ì-bànà
travail	ŋ̀-kòglò
tremplin	ɲ̀-ɲɔŋ́1
tromperie	ǹ-dùgní
troubles	ì-cəc̀òm
troupeau	ŋ̀-kùnà1
tubercule	pɔɔ̀ḿ
turbulent	pəb̀nì
uniforme	bəz̀ìmì
verbenacée	ì-vúl
vocifération	mbám
vêtement	ɛ-̀ŋgəŋ̀
Zanthoxylum	bòŋó
accouché	ɲ̀-ɲə́ꜜɲá
agitation	ì-cəc̀òm
apathique	kólwónó1
arrachement	ì-làlì
attention	púzlânà
Bamiléké	ŋgɛĺàpíz
boiteux	ɲ̀-ɲə́ɲəḿ
bravoure	ù-díꜜdígâ
cachotterie	ù-sɔg̀
camionnette	ù-pəb̀
carambolage	tíndîŋ
cassimango	kàzmáŋâ
catéchiste	kàdàkíz
catéchèse	dɔḱtɛn̂
Cercopithecus	mona
Cercopithecus	pùŋ
chatouiller	ɲwàmlɔ
chrysalide	ɲ́ꜜcígá
claudication	ù-bà
commandement	ì-jôy
conciliabule	ì-són
condiment	ì-zə́záŋ
couverture	m̀-pìŋá
culminant	mbòmbòd
cylindrique	kúdâ1
déclencher	kpázlâ
dégoûtant	ɲɔd̀bɔ̀
dégringoler	swâdnì
dignitaire	m̀-mɛń
discrétion	mə-̀sɔ̌
démesurée	pídgân1
désapprouver	hàmnì
désordonné	mbíꜜɔŋ́
ebebeng	ì-bə́ꜜbəŋ́
effronté	bì-ləĺág
effronterie	ù-lág
embranchement	pálâ
empresser	mbògbàn
exagération	ì-pɛz̀
exsudat	mə-̀kəḿdâ
familiarité	ŋmg͡bà
fraternité	ɛ-̀jǎŋ1
gourmand	ndɔg̀bɔ̀
grand-parent	mbámá
grelotter	ɲàmɲàmà
Guibourtia	ù-vəŋ̀
imitation	mbàŋzàná
impertinence	ù-lág
impudence	ɛ-̀lágbâ
indéfectible	ù-báz
indigence	mə-̀pyàd
inqualifiable	d-àm
insolence	ɛ-̀lágbâ
intention	ɲ̀-cògní
irvingiacée	àzàŋà
kilomètre	kílmɛd́ə
lamentation	ǹ-táŋá
lapsus	ɲ́cɔb́ꜜdáná
lenteur	ù-tə́təǵ
longitudinal	ì-pàz
malchance	bàdlɔǵ
malédiction	ì-jɔg̀
malheureux	tíndîŋ
maltraiter	pɔŋ́zɔ
mammifère	ù-ŋgɛž
mammifère	ɲ̀-càg1
mammifère	ɛ-̀sùná
mille-pattes	ŋgɔy̌
minuscule	cəćɔ́dɔ
monnaie	tɔl̀ápɛn̂
montant	ì-bɛd́ə2̂
moquerie	ì-kpɛ́lí
nombreux	ì-bə̀bəǵ
non-aiguisé	m̀-pím
obéissance	mə-̀wóg
obscénités	pódgân
omoplate	ì-bəb́áz
palmier-raphia	zàm
persévérance	ì-vág
phlyctène	ì-tə́tóg
pistache	ì-kɛĺgí
plaisanterie	ì-làŋ
pression	mə-̀bádná
progression	ù-jìz
prolétaire	cúgzɛd̂
provocateur	bàgnì
provocation	mbàgnì
préparation	ɲ̀-ɲám
présomption	ù-məm̀
prétexte	ɛ-̀kɛl̀bə
pâturage	mə-̀díígà
punition	ì-ndə́glə
asi-mangue	kàzmáŋâ
ravin	ŋm̀-ŋmìglìm
recensement	ì-láŋâ
recherché	jəŋ́bân
revendication	mbàŋ
réflexion	ɲ̀-cògní
réparateur	ŋ̀-kòmò
résidu	bì-kpɛz̀gí
rubiacée	ì-ləl̀ɔm̀
uctation	ŋmg͡bəg̀1
ruisselet	ɲ̀-càbgà
s'accoupler	pəb́nì
s'échapper	sɛl̀gàn
scrupuleux	bəm̀ə2̀
serpent	bət́ə́bâŋà
serpent	ŋgɔj̀ɔ̀mɔ
s'incruster	ŋgànbà
sélectionner	tɔb́
sélectionner	pyàlì
soliloquer	dɔg̀dàn
soudainement	ɛb̀ǒm
souffrance	ì-tíblá
soumission	mə-̀wóg
sterculiacée	à-jòz
stérile	ŋ̀-kə̀ŋkóm
sucrerie	ì-zə̀zəg̀
supporter	mbɛǹbə
surprendre	dìbgànà
sympathiser	mbóònì
termites	ì-lə́láŋ
onnement	ŋ̀-káməń
ourdi	ù-ndúndúmgân
transformer	cɛńî2
transmettre	kàlnà2
transmettre	dàànì
transporter	bəg̀lə
trembloter	tɔg̀bàn
turgescence	ɲ̀-cád
évacuation	ì-bànà
vantardise	bì-jàŋ1
xylophone	mə-̀njáŋ
accrochant	kɔŋ́gwáz
agressif	ɲ̀-ɲə́ɲɔǵ
alcoolisé	mə-̀jɔg̀
alluvions	ì-yə́yəǵ
amulette	ì-tályɛǹ2
articulation	d-òòŋò
audacieux	bì-ləĺág
avare	m̀-pə́ꜜmpɔḿ
bavardage	ì-kókómnó
belle-fille	m̀-mɔḿ
bistourner	ŋm̀-ŋmǎg
blessé	ì-kpəḱpɛ̂lì
catastrophe	tíndîŋ
catastrophe	ɛ-̀màlá
cecropiacée	à-səŋ́
centimes	tɔl̀ápɛn̂
chamailleur	ǹ-sáánà
chaussette	zìtwágnì
coléoptère	kòŋgógô1
commérage	ɲ̀-cwǎz1
commérage	ndəńdɔ́ŋ
compliquer	pɛd̀gàn
complément	ì-bɛd̀gə
conjonctivite	àpòlô
connaissance	ù-jəm̀
coquetterie	bì-jàŋ1
cotonnade	mbámdúlá
céphalophe	ù-kpə̀ŋ
crinière	ɛ-̀ɲjə́ŋlə
racontar	ì-kúkwâlɔ̀
Cymbopogon	citratus
déception	ŋm̀-kpálá
définitivement	kpád
esquisse	mə-̀səb̀lə
extraction	m̀-págní
fantaisiste	bì-jàŋ2
gargoulette	kúlwàdá
gloutonnerie	ŋgəb́
gémissement	ɲ̀-ɲón
grenier	ŋmg͡bɛ́lmí
grenouille	ŋ̀-kɔŋ́ɔ
grenouille	ɛ-̀bəm̀
habillement	m̀-mwád
identité	ì-dàŋdìtê
incantations	kâlnà
inflammation	ŋ̀-ŋɔ
insensible	kólwónó1
insincérité	kɔŋ́lán
intelligent	à-kəŋ́2
intelligent	kəŋ́bə
intentionnel	ù-váŋ
Irvingia	gabonensis
éphantiasis	ɛ-̀tín2
malade	ŋ̀-kúꜜŋkwán
médisance	ndəńdɔ́ŋ
moustique	ì-ɲəɲ́ɔŋ́
opiniâtre	bì-ləĺág
parasolier	ɛ-̀səŋ́
perturbateur	bì-dǐm
phyllanthacée	à-sám
planche	ì-bə́ꜜbɔǵ
potamochère	bəm̀ə1̀
prioritairement	tá
préparatifs	ŋgòmzàn
religion	ɲ̀-ɲəb́ə2́
ressemblance	mbòòní
retourner	vyàŋlànà
reviviscence	ɲ̀-cád
rhamnacée	ŋ̀-káŋlá
sanglots	mə-̀səǵbə
sauterelle	m̀-múlgí
scarifications	mbǎŋ
soulèvement	ǹ-tééní
soutien-gorge	bwàdí
suffisance	à-ŋgɔ̀ŋɔ
support	ɛ-̀yəǵbə́
surprendre	sìlgànà
sympathique	ù-səs̀à
trouble	ì-búꜜbúlgí2
turbulent	m̀-pəb̀ní
véhicule	kɔm̀kɔ̀mɔ
virginité	m̀-pɛĺî
voleur	ŋm̀-ŋmíꜜŋmíb
accouplement	m̀-pəb́
admonestations	bì-jò
adolescente	ndɛd̀gí
afaiblissement	cəg̀1
andinding	ì-ndə̀ndìŋ
arc-en-ciel	ǹ-núꜜnúm
auriculaire	zəźɛĺâ
avertissement	mbəḿí
belle-famille	bə-̀cǐ
bénédiction	ǹ-sàlní2
boursoufflé	bì-tútúg
boursoufflure	ɛ-̀bǐb
brouillé	ì-búꜜbúlgí2
casse-mangue	kàzmáŋâ
Cercopithecus	ì-súm
happatoire	ɛ-̀kɛl̀bə
chasse-mouches	kâg1
laircissement	m̀-pyà
construction	mə-̀lóŋ
contrefort	ɛ-̀kòngò
dame-jeanne	ɛ-̀ŋgámá
Dendroaspis	jamesoni
déformation	ɲ̀-cwǎz2
dissimulation	mbízí
démagogue	m̀-pìmpyáŋ
déracinement	ǹ-tééní
désobéissant	mə-̀lɔ́
effronterie	ù-bàznà
effronterie	ɛ-̀lágbâ
encombrement	kágdân1
enfantillage	à-mɔŋ̀ɔ
enseignant	ɲ̀-ɲəǵlə
euphorbiacée	ì-sánî2
halètement	mə-̀dàgbà
hésitation	ɲ̀-cə́ŋní
imperméable	rɛǹkɔd́
indiscrétion	ù-váznì
lambeaux	bì-pəp̀əg̀
éphantiasis	mə-̀tín
maladie	mə-̀ŋmg͡bəḿ
moute-moute	ù-pìŋgwě
Musanga	cecropioides
parturition	ŋ̀-kòglò
pendentif	ì-tályɛǹ2
professeur	ɲ̀-ɲəǵlə
Pterocarpus	m̀-mɛl̀
Pterocarpus	soyauxii
récipient	ì-ləə̀ŋ̀ə
responsabilité	à-mòd
rubiacée	ì-ndəǹdìŋ
sapindacée	ɛ-̀wóngí
séduction	ɛ-̀ndómní
surveillant	m̀-màglà
taciturne	ì-ndìndìmà
Tragelaphus	scriptus
turbulence	m̀-pəb̀ní
volumineux	ì-bə̀bəǵ
appellation	ǹ-lɔɔ́ńí
boursoufflure	ù-bǐb1
catéchèse	kàdàkísmùz
catégoriquement	kpáám
cesalpiniacée	ì-jɛǹ
chauve-souris	ŋ̀-ŋəḿ
chauve-souris	ù-tàn2
célébration	ì-bàndùm
conciliabule	ì-sɔg̀ɔ
confortablement	mɛz̀1
consciencieux	bəm̀ə2̀
construction	ŋ̀-kóŋó
consultation	m̀-pɔm̀ɔ
coquetterie	ɛ-̀ŋgwàn
déchiqueté	bì-pəp̀əg̀
Guibourtia	tessmannii
harcèlement	mə-̀bádná
impertinence	ù-váznì
inhalation	ɲ̀-cwànbàn
interminable	kɔm̀kɔm̀
irrévérence	ŋm̀-kpálá
malheureux	ì-ŋgúŋgwál
mille-pattes	ù-lɛ̀də
mortification	mə-̀túg
multiplication	ì-bùlà
obscénités	mə-̀pódgân
ostentatoire	ù-vɛz̀nì
paralysée	m̀-mə́mɔǵ
paralytique	m̀-mə́móg
perce-oreille	óbónítô
pince-oreille	óbónítô
Piptadeniastrum	ǹ-tɔ
programmation	ǹ-tágní
revendication	ŋ̀-kál
ruisselet	ɲ̀-cə́bəǵ
termitière	ɛ-̀sómló2
Abelmoschus	esculentus
articulation	ì-bwágzí
chasse-mouches	ɛ-̀kpâg
désapprobation	bì-jám
désinfectant	bùlátânjó
désobéissant	ndɔǵbɔ̂
enrichissement	ɛ-̀bígí
inflorescence	ɛ-̀bám2
massage	ǹ-wúdnə́ŋgánâ
ordonnancement	ǹ-tágní
anouissemnt	mə-̀bùgbàn
plantain	ìtùnbɔk̂ɔǵɔ
voix	ì-ŋmg͡bəŋ̀mgb͡àm
louissement	ì-búꜜbúlgí1
Cercopithecus	neglectus
glorification	mə-̀səǵî
manifestation	ì-zə̀zàŋ
rauque	ì-ŋmg͡bə̀ŋmgb͡àm
développement	mə-̀bùgbàn
intelligent	m̀-pə̀mpəǵ
sous-vêtement	sáꜜŋgélézí
horizontalement	kɛꜜ́ŋgáná
Piptadeniastrum	africanum
sorcier	ŋm̀-g͡bə́ŋmg͡bɛĺ
droit	lwán
genette	zòl
lever	làgbàn
poser	ŋgàzbà
installer	lùmbà
avec	èè
cou	cíŋ
re	bógô
houer	kù
coût	táŋ
rire	tìl
œil	d-ǐz
lier	làd
lire	láŋ
long	èè
net	púb
ais	tìg
pour	ású
ouser	bá
prix	táŋ
unir	làd
voix	cíŋ
vote	cíŋ
bord	kòn
contre	èè
cric	jəǵ
dur	lɛd̀
feu	ndwân
fier	wóg
arer	vóm
lise	cwáz
gober	mìn
gorge	cíŋ
ever	tɔŋ̀
mil	ù-vùg
mort	à-wú
mot	ì-búg
nouer	làd
part	ŋgàb
peur	pún
re	ɛ-̀cíl
pus	pɔŋ́
itter	tê
trop	dàŋ1
tôt	vúlâ
tête	ǹ-nó
tuer	sìl
voir	yɛń
agir	kɔm̀2
animal	tíd
avaler	mìn
calcul	táŋ
chaux	pəḿ
choses	lǒm
coudre	làd
décès	à-wú
doter	vəg̀
eru	ù-kɔg̀
faillir	yì
faire	sá2
faux	cɔǵ
fâché	wóg
fendre	sàl
fier	à-tód
fil	mbúná
fin	à-mànà
fort	lɛd̀
frire	yáŋ1
froid	sín
grain	d-ǐz
ivoire	vùz
jouer	bòm
lier	lád2
loger	bógô
oges	kàŋ2
lot	ɛ-̀bág
marier	bá
nuit	à-lú1
oindre	síì
opérer	sàl
pays	ǹ-nàm
peine	túg
penser	còg
peser	vəg̀
pied	à-kǒl
pitié	wóg
pomper	póm
poncer	síì
rafler	bòm
rater	vùz
rival	mbán
roue	à-kǒl
sec	ŋ̀-kód
soin	kálâ
sortir	pám
tali	ì-lón
tirer	lúm
roit	kág2
têtu	ndɔǵ
acuer	lóg
user	cəg̀2
viande	tíd
vite	à-vól
vite	vúlâ
zip	ɲ̀-càg2
agiter	pógó
air	ì-vúŋlâ
ajuster	kòm
amour	ì-dǐŋ
appétit	zám
wóódè	ndíŋ
jəg̀	tɛĺî
assis	bógô
avocat	pyâ
avouer	məm̀
ayous	à-jòz
balle	ndàmà
baptiser	dù
barrer	yəǵ
beti	bə-̀tí
blinder	kòm
boîte	ndəǵ
braise	d-âg
bruiner	sáb
hanger	pwàz
hec	m̀-məg̀
chéri	ì-dǐŋ
later	bólî
compter	láŋ
onduire	càm
corne	tɔŋ́1
couver	báb1
creuser	pág
rit	tìlbàn
danser	jəḿ
doigt	ù-nǔŋ
déraper	vóm
encens	ù-tú
enduit	pəḿ
envier	kómô
ex-	ŋ̀-kúz2
fil	ŋ̀-kwǎl
fils	ndómní
fièvre	jóŋ
foi	ɛ-̀pìdí
fondre	sêy
galon	ì-kúg
gravir	bɛd́
gronder	bám
guépard	zěy
guéri	lɛd̀
hamac	hámgì
hévéa	ndàmà
imputer	bád
jambe	à-kǒl
jeter	kúdî
joindre	làd
joug	m̀-mòg
juger	jwáz2
laid	bəb́2
lune	ŋgwàn2
lutter	sìŋ
magie	ŋgàŋ
marier	bálâ
dùgà	dùgnì
mois	ŋgwàn2
neveu	m-wán
nièce	m-wán
noise	cəg̀2
nœud	ɛ-̀tǐŋ
oindre	síì
okok	ù-kɔg̀
opinion	cíŋ
paix	mbwàgí
papaye	pùpó
passer	lòd
passer	lòd
patron	mázâ
pêche	bíná
pile	ɛ-̀bág
pincer	pìg
plumer	pwán
propre	púb
prêter	kòlì
uiser	təg̀
ravager	sà1
remède	byàŋ
repas	ɛ-̀dí
rikio	à-sám
résine	ù-tú
sain	mbwàgí
saisir	sà1
sécher	kód2
sculpter	bà
serrer	kág2
simuler	bád
sortir	vám
s’user	síbâ
taper	bɔb̀
eindre	dímâ
terme	ì-búg
tirer	bímî
onner	kám2
treuil	jəǵ
enter	pəb́2
visite	tál
voir	yɛńî
abachi	à-jòz
abattre	sìl
aboucher	kòm
accord	jílâ
actuel	à-lú1
admirer	kómô
adopter	ɲɔŋ̀
adosser	yəǵ
affaires	lǒm
agrume	òpùmá
aiele	à-bɛĺ
allumer	càg
apposer	bàgì
arbre	à-jòz
arriver	vám
assumer	məm̀
au-delà	kón1
aumône	sádkâ
bec	ɲ̀-cɔŋ̀1
bien	m̀-pàŋ
bosse	ì-túd
bouche	à-nùŋ
caféier	kòpí
calculer	láŋ
chasser	càm
clouer	bòmlò
cogner	bòmlò
cola	ɛ-̀bɛľ
content	wóg
cotiser	sùzà
coupe	ù-kəŋ̀
cour	ɲ̀-cəŋ̀
craindre	pún
rire	tìlbàn
danse	ɛ-̀bóg
devenir	pám
défaire	bɔb̀
diffuser	càm
délayer	pùg2
durcir	lɛd̀à
engueuler	sò
entendre	wóg
espérer	pìdì
faible	mànà
faire	kɔm̀2
fantôme	kón1
farine	ù-vùg
fermer	lɔ2́
fille	ŋgwàn1
flacon	ndəǵ
fondre	síbâ
forme	ɛ-̀bím
frapper	kùd
fronde	ndàmà
frotter	pìg
fruit	ì-bòmó
guérir	lɛd̀
habiter	bógô
honte	sámlâ
inscrire	tìl
instant	kwám
kola	ɛ-̀bɛľ
lignage	mbóg
livre	kálâdà
émier	à-bɛĺ
maigre	kód2
malade	kwàn
malaxer	pùg2
e	ɲ̀-cíꜜɲcím
mesurer	vəg̀
mélanger	sáb
moche	bəb́2
modifier	sá2
mouillé	sín
nettoyer	sò
noix	m̀-mǎŋ2
nommer	yòlò
nourrir	tɔŋ̀
obèche	à-jòz
orange	òpùmá
orteil	ù-nǔŋ
panthère	zěy
papayer	pùpó
pian	ɛ-̀bàdà
picorer	sɔǵ
pion	m̀-mǎŋ2
piquant	jàŋ
piquer	sɔǵ
plan	ǹ-nímŋì
plié	ɛ-̀bág
pondéré	tìg
poste	ŋ̀-kóŋ
poumon	ndàm2
presser	bán2
procès	jwáz1
pétrir	pùg2
purger	pyál
racine	lád2
raie	ì-sàlgà
ection	kɛń
refuser	bɛǹ
regarder	tál
remuant	jàŋ
remuer	pógó
rester	káŋâ
riche	m̀-pàŋ
rogner	cəg̀2
